,종목명,stability_1,profitability,decision
0,파미셀,-2.450988445,6.871193815,0
1,KTis,47.41848804,2.951491934,0
2,롯데관광개발,-33.77936533,-2.553168379,0
3,부산주공,2.038447171,-7.653197706,0
4,더존비즈온,22.65136649,7.018523293,0
5,현대코퍼레이션홀딩스,-49.4159205,4.021612936,0
6,대한유화,371.8214761,5.247650152,0
7,신풍제지,326.2162386,10.52596586,0
8,삼정펄프,558.1816108,2.264121282,0
9,KPX케미칼,698.2711481,8.004464031,0
10,유엔젤,-151.4903089,-11.14477215,0
11,덕양산업,8.885890762,-3.222598296,0
12,한국주철관,25.37210677,3.929747709,0
13,이화산업,2.940557396,-1.683663428,0
14,현대리바트,226.3241076,2.585740211,0
15,까뮤이앤씨,17.65209402,7.990984997,0
16,신라교역,-1.537135154,1.663712006,0
17,KPX홀딩스,75.34287277,5.228825976,0
18,SK가스,19.36948657,3.775180137,0
19,금강공업,7.926394491,-0.593733444,0
20,경동인베스트,31.89427579,1.462673176,0
21,이아이디,-14.63040027,0.22692041,0
22,에어부산,22.66214946,-7.396226888,0
23,이스타코,100.8317262,13.88152,0
24,대동공업,21.24571652,0.321850054,0
25,지엠비코리아,20.01557931,0.367847166,0
26,SBS,-18.83688858,1.6777318,0
27,KR모터스,-9.910656055,-28.48511571,0
28,화신,23.40385233,0.819219871,0
29,대림통상,-6.768687568,-6.523651793,0
30,대한해운,15.95202214,3.023773947,0
31,보령제약,47.58813737,6.347511301,0
32,비비안,135.1771281,-1.825306494,0
33,삼원강재,371.0668204,4.182352364,0
34,이연제약,-36.20131702,1.807896226,0
35,노루페인트,52.37983196,3.01266896,0
36,성문전자,31.27203418,-4.349443803,0
37,한일현대시멘트,20.04408387,7.37557163,0
38,대창단조,575.0261742,6.545203367,0
39,KT&G,625.8324031,9.646170334,0
40,일정실업,-40.74989184,-22.47442441,0
41,DSR제강,42.87120766,3.351139278,0
42,메리츠금융지주,-33.45983583,1.274345782,0
43,포스코강판,-8.061571512,0.512063434,0
44,영흥,-9.124032226,0.341741237,0
45,SK네트웍스,8.908449467,-1.209347641,0
46,SK렌터카,-4.85728766,0.990850693,0
47,KISCO홀딩스,265.3625388,4.038302411,0
48,우리금융캐피탈,-22.80564391,1.359368515,0
49,하나제약,581.3918308,10.76048982,0
50,선창산업,8.051940713,-7.352182571,0
51,한화투자증권,-25.03861533,0.99767277,0
52,삼천리,27.12819049,0.919520848,0
53,현대미포조선,-31.40875558,1.809665745,0
54,GS,14.96479928,2.704547077,0
55,코아스,23.7558139,2.742586676,0
56,LG디스플레이,19.9456866,-8.07340346,0
57,휴니드,-105.8474179,3.05183815,0
58,진도,14.16658616,-1.882454351,0
59,핸즈코퍼레이션,9.971329413,0.830043771,0
60,삼진제약,1587.225226,4.866150193,0
61,이리츠코크렙,2.323157218,0.918745015,0
62,신영와코루,268.2907388,0.824691479,0
63,웅진씽크빅,3.167708251,-6.138547273,0
64,종근당,65.46767938,6.610737333,0
65,한국조선해양,-27.38617989,0.850440772,0
66,SNT모티브,28710.05726,0.356007024,0
67,범양건영,33.80087202,14.23996729,0
68,영화금속,3.444882462,0.130829568,0
69,동양,83.50928956,-0.222433727,0
70,현대비앤지스틸,30.45483444,3.577744418,0
71,깨끗한나라,10.34957193,-2.189711228,0
72,현대글로비스,26.8283257,4.958892543,0
73,한국종합기술,51.18599694,-0.423815094,0
74,동아지질,25.22202645,5.908874422,0
75,흥국화재,211.3341594,0.303861013,0
76,디씨엠,467.9457522,11.33555555,0
77,LF,21.62114508,2.873230906,0
78,이월드,46.03453472,2.670208743,0
79,GS글로벌,6.413574077,-1.382402085,0
80,한진,8.323108549,-0.080751328,0
81,모두투어리츠,12.00547492,2.505331887,0
82,동방아그로,289.2446957,3.333392376,0
83,삼양통상,403.5631753,11.89141133,0
84,LG상사,15.38717161,-0.304778819,0
85,화천기계,1258.883975,-3.873137849,0
86,DGB금융지주,-10.44258751,0.501270979,0
87,지투알,288.3293642,3.029426261,0
88,씨에스윈드,37.57263787,4.714798676,0
89,OCI,-2.498409977,-16.78135416,0
90,HMM,7.579278103,-8.23773178,0
91,KSS해운,13.11543581,2.448220009,0
92,녹십자,8.338641867,-0.576093642,0
93,E1,3.434624363,-1.457657891,0
94,조선내화,51.23821279,3.013338098,0
95,동양철관,-49.95243317,1.083746623,0
96,한국수출포장,449.6633269,5.849206864,0
97,코스모화학,3.945030522,-2.813441462,0
98,일진홀딩스,21.9325824,1.885915369,0
99,필룩스,22.07058895,-2.803467927,0
100,크라운제과,38.41058289,5.68867526,0
101,한국내화,19.70935634,2.048324116,0
102,동성코퍼레이션,18.44861622,2.941796249,0
103,동양물산,7.378656917,0.831100369,0
104,KCTC,19.76706031,1.933429226,0
105,하이스틸,-3.238981473,0.013459249,0
106,이수화학,-1.199393881,-1.770901246,0
107,롯데푸드,20.73467202,2.84654812,0
108,한국철강,122.5282486,2.185500369,0
109,CJ대한통운,27.32299864,0.558614327,0
110,DRB동일,24.05050473,1.808690859,0
111,한올바이오파마,3603.160549,10.01881537,0
112,대구백화점,-6.174929529,-2.859977089,0
113,JW중외제약,29.61235121,-4.409397954,0
114,화승인더,17.8006062,6.364954545,0
115,한국단자,627.6782807,3.598505991,0
116,신송홀딩스,-14.24824502,-17.1819204,0
117,NPC,55.96262344,3.559074423,0
118,롯데하이마트,16.36900217,-3.214969407,0
119,세아홀딩스,22.78372662,0.888177258,0
120,빙그레,701.3016753,5.994529142,0
121,SK텔레콤,33.68432053,1.90417679,0
122,동성화학,242.9769598,7.191072663,0
123,명문제약,-2.498953316,-7.878046411,0
124,웰바이오텍,-36.65810855,-13.81413371,0
125,일진다이아,650.5934973,5.277187715,0
126,한솔테크닉스,79.92891472,1.300930199,0
127,DB금융투자,-47.82554953,0.693290619,0
128,두산중공업,4.127101004,-0.420678396,0
129,부국증권,24.72575322,1.849653415,0
130,삼성생명,58.85604457,0.336259228,0
131,현대홈쇼핑,12.82015547,3.438524966,0
132,휴비스,-3.971869662,-0.033439744,0
133,한솔케미칼,31.91802221,9.692480474,0
134,대한제당,1.950337691,1.262359971,0
135,우성사료,-6.767992598,3.532899332,0
136,효성티앤씨,18.9431797,3.784469313,0
137,콤텍시스템,-1522.126424,0.649420101,0
138,세아베스틸,31.27425666,0.536475809,0
139,일동홀딩스,6.096389142,-4.595248064,0
140,조광페인트,13.5207386,-0.740030757,0
141,쌍방울,-4.368780695,-10.69560589,0
142,한솔홀딩스,74.39680029,3.944959856,0
143,한샘,27.59804202,3.551765596,0
144,대유플러스,9.504281486,2.351389916,0
145,사조오양,34.35335301,4.246994171,0
146,코오롱글로벌,17.03198179,1.52306155,0
147,세방,55.00574956,0.6040938,0
148,영원무역,50.09412656,5.613793296,0
149,유성기업,5518.173094,4.801262118,0
150,신세계,17.39294595,4.55600783,0
151,롯데쇼핑,10.02686492,-2.403340556,0
152,고려아연,1702.35466,8.144995414,0
153,대한제강,69.83070792,4.663263085,0
154,송원산업,29.55893845,3.914465004,0
155,남성,-10.02401479,-1.072395802,0
156,아남전자,37.54043053,0.29962473,0
157,이노션,100.645017,4.556213495,0
158,삼성중공업,-17.61736032,-9.671654269,0
159,강남제비스코,296.7093786,2.59010597,0
160,해성디에스,47.30948322,5.582293265,0
161,조선선재,7224.013901,10.58351058,0
162,태경산업,53.5914934,4.551860081,0
163,부산산업,124.4852216,5.10385858,0
164,강원랜드,599.4972163,7.540443811,0
165,대한방직,-51.97618864,-8.069088888,0
166,참엔지니어링,-7.903828175,-2.307942474,0
167,한국석유,23.2812193,-2.621541807,0
168,엔에스쇼핑,-1.699569223,-0.819032247,0
169,SNT홀딩스,5898.081676,5.566704204,0
170,삼일제약,11.31053405,0.427605438,0
171,제이에스코퍼레이션,131.8931236,4.077823144,0
172,한화,17.82393814,0.126753439,0
173,동원수산,70.3087681,5.889605581,0
174,대호에이엘,5.215653464,-4.333891559,0
175,동아에스티,27.1966596,7.029581472,0
176,NI스틸,11.82382924,2.480910875,0
177,풍산홀딩스,-19.1915238,2.575558133,0
178,농심홀딩스,17.62138718,3.010544819,0
179,주연테크,10.67263003,-7.746964832,0
180,DB손해보험,221.7431626,0.685339961,0
181,영진약품,63.45486691,2.509370157,0
182,LS전선아시아,-25.01342262,4.751440039,0
183,잇츠한불,56.38176495,1.3786673,0
184,만도,17.04863384,2.572876564,0
185,효성첨단소재,7.226975,-2.090275009,0
186,한국화장품제조,21.62060507,-1.767821786,0
187,사조동아원,-1.811865269,0.190070277,0
188,미래에셋대우,-17.98690773,0.498874085,0
189,한섬,566.735313,6.441379596,0
190,동일고무벨트,39.24796513,2.94117705,0
191,쌍용차,-6.001089781,-16.90585047,1
192,흥아해운,-3.856525622,-11.91670371,1
193,유양디앤유,-23.27782157,-4.592113339,1
194,센트럴인사이트,-35.10285469,-38.13981093,1
